# Interceptor: Micromissile launched from Hydra-70 at 11.3 degrees above horizon
# Target: Drone at (6000, 0, 150) moving at (-10, 0, 0)
# Controller: MPC controller until 1 km to target, then proportional navigation
# MPC controller: distance cost factor = 4, speed cost factor = 1

Time since launch [s],Distance to target [m],Interceptor speed [m/s]
7.55,177.399,404.524
7.56,173.264,403.999
7.57,169.135,403.476
7.58,165.012,402.956
7.59,160.893,402.438
7.6,156.78,401.923
7.61,152.672,401.41
7.62,148.569,400.9
7.63,144.471,400.393
7.64,140.378,399.887
7.65,136.29,399.385
7.66,132.207,398.885
7.67,128.129,398.387
7.68,124.056,397.891
7.69,119.988,397.399
7.7,115.925,396.908
7.71,111.867,396.42
7.72,107.814,395.932
7.73,103.765,395.444
7.74,99.7219,394.956
7.75,95.6832,394.468
7.76,91.6495,393.981
7.77,87.6207,393.493
7.78,83.5969,393.005
7.79,79.5776,392.518
7.8,75.5633,392.03
7.81,71.5541,391.542
7.82,67.5494,391.055
7.83,63.5498,390.568
7.84,59.5549,390.08
7.85,55.565,389.593
7.86,51.5798,389.106
7.87,47.5998,388.618
7.88,43.6245,388.131
7.89,39.6539,387.644
7.9,35.6881,387.157
7.91,31.7275,386.67
7.92,27.7717,386.182
7.93,23.8207,385.695
7.94,19.8746,385.208
7.95,15.9333,384.721
7.96,11.9969,384.233
7.97,8.06542,383.746
7.98,4.13886,383.258
7.99,0.216831,382.767
