# 0 mm feed length
# Feed offset: 1.1258 mm

Phi[deg],Theta[deg],dB(GainTotal)
26,-168,-10.5528
28,-168,-10.6464
30,-168,-10.7512
32,-168,-10.8674
34,-168,-10.9952
36,-168,-11.1346
38,-168,-11.2859
40,-168,-11.4494
42,-168,-11.625
44,-168,-11.8131
46,-168,-12.0138
48,-168,-12.2271
50,-168,-12.4531
52,-168,-12.6918
54,-168,-12.9429
56,-168,-13.2063
58,-168,-13.4814
60,-168,-13.7674
62,-168,-14.0633
64,-168,-14.3676
66,-168,-14.6784
68,-168,-14.9932
70,-168,-15.3086
72,-168,-15.6207
74,-168,-15.9245
76,-168,-16.2141
78,-168,-16.4828
80,-168,-16.7234
82,-168,-16.9282
84,-168,-17.0899
86,-168,-17.2021
88,-168,-17.2599
90,-168,-17.2609
-90,-166,-33.2829
-88,-166,-33.678
-86,-166,-33.323
-84,-166,-32.3661
-82,-166,-31.1079
-80,-166,-29.7751
-78,-166,-28.4798
-76,-166,-27.2629
-74,-166,-26.1334
-72,-166,-25.0871
-70,-166,-24.1162
-68,-166,-23.2122
-66,-166,-22.3675
-64,-166,-21.5754
-62,-166,-20.8302
-60,-166,-20.1274
-58,-166,-19.463
-56,-166,-18.834
-54,-166,-18.2377
-52,-166,-17.6717
-50,-166,-17.1343
-48,-166,-16.6239
-46,-166,-16.1391
-44,-166,-15.6787
-42,-166,-15.2417
-40,-166,-14.8272
-38,-166,-14.4343
-36,-166,-14.0625
-34,-166,-13.711
-32,-166,-13.3792
-30,-166,-13.0667
-28,-166,-12.7729
-26,-166,-12.4973
-24,-166,-12.2396
-22,-166,-11.9993
-20,-166,-11.776
-18,-166,-11.5693
-16,-166,-11.3789
-14,-166,-11.2044
-12,-166,-11.0455
-10,-166,-10.9017
-8,-166,-10.7728
-6,-166,-10.6584
-4,-166,-10.5583
-2,-166,-10.472
0,-166,-10.3993
2,-166,-10.3398
4,-166,-10.2934
6,-166,-10.2596
8,-166,-10.2384
10,-166,-10.2294
12,-166,-10.2324
14,-166,-10.2474
16,-166,-10.2741
18,-166,-10.3125
20,-166,-10.3625
22,-166,-10.4241
24,-166,-10.4973
26,-166,-10.5822
28,-166,-10.6789
30,-166,-10.7875
32,-166,-10.9082
34,-166,-11.0413
36,-166,-11.187
38,-166,-11.3455
40,-166,-11.5172
42,-166,-11.7024
44,-166,-11.9013
46,-166,-12.1143
48,-166,-12.3416
50,-166,-12.5835
52,-166,-12.84
54,-166,-13.1112
56,-166,-13.397
58,-166,-13.6971
60,-166,-14.0108
62,-166,-14.3374
64,-166,-14.6753
66,-166,-15.0228
68,-166,-15.377
70,-166,-15.7345
72,-166,-16.0907
74,-166,-16.4396
76,-166,-16.7742
78,-166,-17.0858
80,-166,-17.3651
82,-166,-17.6019
84,-166,-17.7862
86,-166,-17.9096
88,-166,-17.9657
90,-166,-17.9517
-90,-164,-23.9656
-88,-164,-23.9955
-86,-164,-24.0181
-84,-164,-24.0312
-82,-164,-24.0303
-80,-164,-24.0085
-78,-164,-23.9572
-76,-164,-23.8669
-74,-164,-23.7281
-72,-164,-23.5325
-70,-164,-23.2748
-68,-164,-22.9532
-66,-164,-22.5699
-64,-164,-22.1308
-62,-164,-21.6449
-60,-164,-21.1223
-58,-164,-20.5737
-56,-164,-20.0093
-54,-164,-19.4379
-52,-164,-18.8672
-50,-164,-18.3031
-48,-164,-17.7505
-46,-164,-17.213
-44,-164,-16.6932
-42,-164,-16.193
-40,-164,-15.7136
-38,-164,-15.256
-36,-164,-14.8206
-34,-164,-14.4075
-32,-164,-14.017
-30,-164,-13.6487
-28,-164,-13.3025
-26,-164,-12.9781
-24,-164,-12.6751
-22,-164,-12.3932
-20,-164,-12.1319
-18,-164,-11.8907
-16,-164,-11.6693
-14,-164,-11.467
-12,-164,-11.2833
-10,-164,-11.1179
-8,-164,-10.9701
-6,-164,-10.8394
-4,-164,-10.7253
-2,-164,-10.6273
0,-164,-10.5448
2,-164,-10.4772
4,-164,-10.4241
6,-164,-10.3849
8,-164,-10.3592
10,-164,-10.3464
12,-164,-10.3463
14,-164,-10.3582
16,-164,-10.382
18,-164,-10.4172
20,-164,-10.4638
22,-164,-10.5213
24,-164,-10.5898
26,-164,-10.6691
28,-164,-10.7592
30,-164,-10.8602
32,-164,-10.9721
34,-164,-11.095
36,-164,-11.2292
38,-164,-11.3746
40,-164,-11.5316
42,-164,-11.7002
44,-164,-11.8805
46,-164,-12.0727
48,-164,-12.2767
50,-164,-12.4925
52,-164,-12.7196
54,-164,-12.9578
56,-164,-13.2065
58,-164,-13.4646
60,-164,-13.7311
62,-164,-14.0044
64,-164,-14.2826
