# Micromissile
# Constant L/D = 5
# Initial speed = 1000 m/s
# Constant normal acceleration = 100 m/s^2
# No air drag, no gravity

Azimuth [rad],Speed [m/s]
1.59821,726.48
1.59959,726.28
1.60096,726.081
1.60234,725.881
1.60372,725.681
1.6051,725.481
1.60648,725.281
1.60786,725.081
1.60924,724.881
1.61061,724.681
1.61199,724.481
1.61338,724.281
1.61476,724.081
1.61614,723.881
1.61752,723.681
1.6189,723.481
1.62028,723.281
1.62167,723.082
1.62305,722.882
1.62443,722.682
1.62582,722.482
1.6272,722.282
1.62845,722.102
1.62983,721.902
1.63122,721.702
1.6326,721.502
1.63399,721.302
1.63538,721.102
1.63676,720.902
1.63815,720.702
1.63954,720.502
1.64093,720.302
1.64232,720.103
1.6437,719.903
1.64509,719.703
1.64648,719.503
1.64787,719.303
1.64926,719.103
1.65065,718.903
1.65205,718.703
1.65344,718.503
1.65483,718.303
1.65622,718.103
1.65761,717.903
1.65901,717.703
1.6604,717.503
1.6618,717.303
1.66319,717.104
1.66458,716.904
1.66598,716.704
1.66738,716.504
1.66877,716.304
1.67017,716.104
1.67156,715.904
1.67296,715.704
1.67436,715.504
1.67576,715.304
1.67715,715.104
1.67855,714.904
1.67995,714.704
1.68135,714.504
1.68275,714.305
1.68415,714.105
1.68555,713.905
1.68695,713.705
1.68835,713.505
1.68976,713.305
1.69116,713.105
1.69256,712.905
1.69396,712.705
1.69537,712.505
1.69677,712.305
1.69817,712.105
1.69958,711.906
1.70098,711.706
1.70239,711.506
1.7038,711.306
1.7052,711.106
1.70661,710.906
1.70801,710.706
1.70942,710.506
1.71083,710.306
1.71224,710.106
1.71365,709.907
1.71505,709.707
1.71646,709.507
1.71787,709.307
1.71928,709.107
1.72069,708.907
1.72211,708.707
1.72352,708.507
1.72493,708.307
1.72634,708.107
1.72775,707.907
1.72917,707.707
1.73058,707.507
1.73199,707.308
1.73341,707.108
1.73482,706.908
1.73624,706.708
1.73765,706.508
1.73907,706.308
1.74048,706.108
1.7419,705.908
1.74332,705.708
1.74473,705.508
1.74615,705.308
1.74757,705.108
1.74899,704.908
1.75041,704.709
1.75183,704.509
1.75324,704.309
1.75466,704.109
1.75609,703.909
1.75751,703.709
1.75893,703.509
1.76035,703.309
1.76177,703.109
1.76319,702.909
1.76462,702.709
1.76604,702.509
1.76746,702.309
1.76889,702.109
1.77031,701.91
1.77174,701.71
1.77316,701.51
1.77459,701.31
1.77601,701.11
1.77744,700.91
1.77887,700.71
1.78029,700.51
1.78172,700.31
1.78315,700.11
1.78458,699.91
1.78601,699.71
1.78744,699.51
1.78887,699.31
1.7903,699.11
1.79173,698.911
1.79316,698.711
1.79459,698.511
1.79602,698.311
